formula,predicted_log_conductivity,predicted_conductivity
Li4Si3Ti3P2,-5.447354,3.5698188e-06
Li3Ge4Si7La3Br6,-5.447773,3.5663752e-06
LiPO3N7Ti3,-5.447807,3.5660971e-06
Li7Al4F3SBr3,-5.45001,3.5480537e-06
Li2GeP2,-5.4539175,3.5162723e-06
Li6Zr4Ti2P4La3,-5.4539332,3.516145e-06
Li7Zr6N2P4Al4,-5.454802,3.509118e-06
Li7Cl5N2,-5.455195,3.5059445e-06
Li2Cl3Ge2Ti3,-5.4553456,3.5047285e-06
LiTi2P5O6,-5.45599,3.4995335e-06
Li5Cl4Br7Ge4,-5.4560695,3.498892e-06
LiLa3Ge6Br3,-5.4567695,3.493257e-06
Li3La2Br3N3,-5.4581046,3.482534e-06
Li2Ti6P5Al5Br5,-5.4625688,3.4469203e-06
Li5Ti7Si2Cl6Ge5,-5.462596,3.4467046e-06
Li7Zr6N5Ge6Cl7,-5.462869,3.4445368e-06
Li7Ti5S4O2,-5.4675665,3.4074815e-06
Li5S3Cl3,-5.4686255,3.3991823e-06
Li5S3Cl3,-5.4686255,3.3991823e-06
Li3Ge3Ti7P3,-5.469272,3.3941253e-06
Li3Br3Ge3Zr2,-5.4697433,3.3904453e-06
Li3Si5Ti4P2,-5.47459,3.3528195e-06
LiBr3PLa2,-5.475171,3.348335e-06
Li4Cl5Zr3S7La3,-5.475452,3.3461704e-06
Li2Ti5PS6,-5.475622,3.3448591e-06
Li7OF2Ge,-5.476468,3.3383503e-06
Li6GeS5P5La7,-5.4787016,3.321226e-06
Li2Ti5La5P4Zr3,-5.479793,3.3128892e-06
Li7SiPN3,-5.483644,3.2836435e-06
Li4P6Br4F,-5.486025,3.2656915e-06
Li5PBr2,-5.487004,3.2583384e-06
Li5Br2P,-5.487004,3.2583384e-06
Li5Ti4Si6Cl4,-5.489217,3.2417774e-06
Li3PLa2S5,-5.4892263,3.2417063e-06
Li5Cl2La2Ge6,-5.4897466,3.2378255e-06
Li4Br6Zr6Ge7Si,-5.4902096,3.2343753e-06
Li5Cl6Zr3P3,-5.491763,3.222826e-06
Li5Ge6Ti5Si7Cl7,-5.4923935,3.2181517e-06
Li5Ge6Br5P,-5.4928913,3.2144649e-06
Li4P7Br3NTi6,-5.492993,3.2137132e-06
Li3La4Br3Ge7P4,-5.493281,3.2115827e-06
LiP5FBrZr2,-5.4940844,3.2056466e-06
LiP2Zr5,-5.494417,3.2031908e-06
LiTi7S6P5,-5.4947624,3.2006456e-06
Li7Ge3Al3Ti6Cl5,-5.4949436,3.1993104e-06
Li4P5Cl3,-5.4954114,3.1958664e-06
Li7P5Ti7Al7,-5.495884,3.1923907e-06
Li5N2Cl6,-5.4960093,3.1914692e-06
Li2P7Br7La5Ti5,-5.4962144,3.1899626e-06
Li7BrN4,-5.498391,3.1740142e-06
Li4OBr7Zr2,-5.4986386,3.1722059e-06
Li7P6Si2Zr7,-5.4986677,3.1719935e-06
Li6La7Cl3Br2P4,-5.500409,3.1593001e-06
Li6Ge4Si7La7Br2,-5.501523,3.1512075e-06
Li7O7Zr2La3Si4,-5.502654,3.143011e-06
Li4Ti3Br6SGe5,-5.513067,3.06855e-06
Li4P3Ge2,-5.513291,3.066967e-06
Li6P2Cl3,-5.513673,3.064271e-06
Li5Ti2N4Br3,-5.513971,3.0621688e-06
Li2N7Ti4S6Cl,-5.514975,3.0550964e-06
Li3Cl2Zr5S7,-5.517075,3.0403594e-06
Li7Si5P4Ti2La3,-5.5182185,3.0323652e-06
Li2Zr5P2,-5.518951,3.0272554e-06
LiLa2Ge5Br2S6,-5.5201697,3.0187716e-06
Li5Al6BrTi4La,-5.521238,3.0113563e-06
Li2La2NS7,-5.5235033,2.9956889e-06
Li5SN2,-5.5238185,2.9935154e-06
Li2Cl2S4SiBr4,-5.525003,2.9853622e-06
Li4Ti6P5Si4Zr3,-5.525809,2.979828e-06
Li5S6AlGe4La5,-5.527277,2.9697712e-06
Li4Si2P3Br7,-5.5276527,2.967203e-06
LiO4Zr2S3P2,-5.5277553,2.9665027e-06
Li6Zr4Cl5Ge6S6,-5.5280747,2.964321e-06
LiP6Br5O,-5.5283623,2.9623593e-06
Li4PGe3S7La7,-5.531487,2.941122e-06
Li5Al4Br2P2,-5.5325966,2.933617e-06
Li6ClGe3Br5,-5.5329876,2.930977e-06
Li3Ge7Ti7F7La,-5.535003,2.9174057e-06
Li7Ti6Si7Br3O,-5.5351114,2.9166786e-06
Li2Cl7Ge2,-5.5362997,2.9087091e-06
Li2Ge6Cl7Zr6,-5.536898,2.904704e-06
Li4AlBrN2S2,-5.5373464,2.9017076e-06
Li3Ge7La2P2Ti2,-5.537585,2.900115e-06
Li4PZr2Si7Cl,-5.53882,2.8918796e-06
Li2Br5La6Si2S4,-5.5389595,2.8909494e-06
Li3TiN4F5La2,-5.540689,2.8794598e-06
Li7Cl6La2O2Ti3,-5.5417094,2.872702e-06
Li5Al4Br4S3,-5.5464444,2.8415518e-06
Li5S5Cl,-5.546772,2.8394093e-06
Li2La6Ti7Br4P6,-5.549796,2.8197064e-06
Li7Cl6Ge5N6S6,-5.549881,2.8191555e-06
Li3S4Ge2NO,-5.5507693,2.8133948e-06
Li6O3Ti3P2Si4,-5.552287,2.8035797e-06
LiN3Zr5Ti6Br,-5.5526614,2.8011643e-06
Li2P3S7Ti3La7,-5.5526857,2.8010074e-06
Li7O2Al,-5.5543323,2.7904082e-06
Li6Ti5O2Br5S7,-5.5548654,2.786985e-06
LiGeBr3,-5.5548697,2.7869576e-06
LiBr3Ge,-5.5548697,2.7869576e-06
Li7Br3Ge4La4,-5.559007,2.7605322e-06
Li5Ge3P3Cl2,-5.559527,2.7572305e-06
Li2Cl2Al,-5.5619802,2.7416988e-06
Li5Cl2Br7Zr,-5.562502,2.7384076e-06
Li3La3GeP4,-5.5659146,2.7169733e-06
Li4Zr3Si7Cl7,-5.571093,2.684769e-06
Li5Br4Al2Zr3Ge7,-5.571182,2.6842208e-06
Li7Ti3PN3Br5,-5.5712023,2.684094e-06
Li7SiO2,-5.5715737,2.6817993e-06
Li4P2Ge3O2Zr7,-5.571593,2.6816815e-06
Li4Br5Ge4Cl4,-5.5747886,2.6620207e-06
Li7P6N4,-5.576687,2.6504106e-06
Li5Zr2Ti6P6Br7,-5.5793176,2.6344044e-06
Li4Ti3LaPGe3,-5.5833626,2.6099815e-06
Li6N6Br4AlTi2,-5.5840464,2.6058754e-06
Li4N5Ti7Ge2Cl4,-5.584198,2.6049656e-06
Li7Al7Ti5P5,-5.585032,2.599968e-06
Li2Ge2Cl4OBr4,-5.585164,2.5991774e-06
Li6Al4O2Br3,-5.5892863,2.574623e-06
Li2La5P4Ge3Zr4,-5.5928144,2.5537922e-06
Li7P2Zr4Si3,-5.5970473,2.5290224e-06
LiFZr6S4,-5.5975184,2.5262805e-06
Li7S5FGe5Cl4,-5.597887,2.5241372e-06
Li5Cl7NPAl4,-5.5982184,2.5222118e-06
Li3OS5Ti2,-5.5986996,2.5194192e-06
LiS7Zr2Si3P2,-5.598727,2.5192587e-06
Li6F3Ge2Ti6La,-5.600069,2.511487e-06
Li3Ge6La5Cl3Si3,-5.6000834,2.5114043e-06
Li6Ge4Cl5O5S7,-5.6001034,2.5112886e-06
Li2O6Zr6S3P2,-5.602032,2.50016e-06
Li2Br3Ge5Si3Zr3,-5.603656,2.4908306e-06
Li7Ti5Si2O4Br,-5.6037393,2.490352e-06
Li4Si4Cl2N5Zr4,-5.608059,2.4657047e-06
Li5S4Al2Cl2Br3,-5.610444,2.4522003e-06
Li7P3Ti7Al5,-5.610826,2.4500446e-06
LiP3Br4La7,-5.611671,2.4452825e-06
LiTi6N6Br3,-5.612084,2.4429585e-06
Li6FClZrN2,-5.612662,2.4397098e-06
Li7Si5F5La3Cl3,-5.6130357,2.4376106e-06
Li2Ge5NP2Ti5,-5.6138806,2.4328726e-06
Li7N7S7La2,-5.613892,2.4328085e-06
Li2Zr4Si4Br7,-5.6157613,2.4223602e-06
Li5OCl7,-5.6157947,2.422174e-06
Li3ZrS7,-5.6173096,2.4137396e-06
LiZr5Al2Br4,-5.617913,2.4103895e-06
LiTi2ClAl2,-5.6192446,2.4030091e-06
LiLa3Cl5N4,-5.6193604,2.4023682e-06
Li2S2ClZr2,-5.6211805,2.392321e-06
