formula,log_conductivity,predicted_conductivity
Li4P3Br5,-4.829764,1.4799123690044918e-05
Li4La3Ge3N5Cl5,-4.833456,1.4673847456196416e-05
Li6La3Ge4F7P2,-4.833841,1.4660844924161811e-05
Li6Br7P4,-4.83449,1.4638952445962295e-05
Li5FCl2ZrP6,-4.8365874,1.4568424915949657e-05
Li4Cl7Al,-4.841192,1.4414779385185538e-05
Li5N3Ge5La5Cl6,-4.8435993,1.433509911271248e-05
Li3Br6Cl3Ge2,-4.844517,1.4304839849354326e-05
Li6La5S6Br5,-4.848725,1.4166905599069702e-05
Li7Cl7La4N5P2,-4.850981,1.4093504549107738e-05
Li5N4Zr4P7S5,-4.855222,1.3956547564116123e-05
Li6S3Cl7Br,-4.8611155,1.3768432506935166e-05
LiPGeCl2,-4.8617015,1.3749867084409844e-05
Li3Cl7Ti,-4.8661757,1.3608940020862954e-05
Li2S3Zr5Br6P6,-4.872612,1.3408740934224752e-05
Li6Br2S7Ge4P6,-4.875243,1.3327754980516357e-05
Li2Br7LaN2,-4.876601,1.3286145371442522e-05
Li2Br5Ge2La5P5,-4.8767333,1.3282098602720999e-05
Li6GeN2,-4.878156,1.3238659128063315e-05
Li3LaBr3P2N,-4.878327,1.3233447537345582e-05
Li4La4Br6F2Cl7,-4.883302,1.308271859616801e-05
Li4Br7Ge2Si2La4,-4.887323,1.2962148720513263e-05
Li7Cl4Si3Br2S7,-4.8995233,1.2603080202620708e-05
Li7Br7La2Ge4,-4.9027524,1.2509720312111032e-05
Li5Ti5P5S4Cl2,-4.907808,1.2364939620788693e-05
Li7Ge4LaCl7Br2,-4.911337,1.2264871431385256e-05
Li6N4Al5Br2P6,-4.912157,1.2241735733440067e-05
Li4S3ZrBr7,-4.9148445,1.2166215364219027e-05
Li6LaGe2Al2Cl4,-4.91535,1.2152062653716775e-05
LiLa3Ge2Cl5,-4.9156656,1.2143235008047631e-05
Li4P7Zr4N7,-4.9184866,1.206461312552497e-05
Li6P4O5La4N6,-4.9211645,1.1990450485392286e-05
Li5Al3Br2N2S7,-4.9220552,1.196588432024265e-05
Li2Cl5La2N,-4.928312,1.1794729900906584e-05
Li3Br4P2,-4.928948,1.1777469819363419e-05
Li2S4ClGe,-4.9300528,1.174754723697907e-05
Li7Cl4S3Zr7P4,-4.9320416,1.169387372915383e-05
Li3P4Br4Ti,-4.9336386,1.1650951650156686e-05
Li6Cl5N4S4Br2,-4.936292,1.1579985084433005e-05
Li5BrClLa,-4.9382205,1.1528677751612396e-05
Li5ZrBr5P4La2,-4.938803,1.1513225210741254e-05
LiBr3N5PTi7,-4.9390283,1.1507254015999446e-05
Li3BrLaP,-4.939628,1.1491375071818592e-05
Li2La4SBr7,-4.9468837,1.1300985039644753e-05
Li2Zr4P3Br3Ge,-4.9522257,1.116282972055823e-05
Li2P3Br,-4.9527135,1.115029865772853e-05
Li2BrP3,-4.9527135,1.115029865772853e-05
Li6S7NP4,-4.9538193,1.1121943896688428e-05
Li4P6Br,-4.955724,1.1073272818334532e-05
Li7Cl6SiGe4P,-4.957376,1.1031231532205507e-05
Li2S5Zr7ClP4,-4.9597073,1.0972174349703841e-05
Li6Ge4La5Br7P7,-4.959804,1.0969731557565227e-05
Li7Al2TiS7Br3,-4.9598985,1.0967344866275948e-05
Li4S3P5Cl3Br7,-4.9606924,1.0947314628668607e-05
Li4Zr2PBr2S4,-4.9614844,1.0927368779504291e-05
Li6P6Br6N,-4.9632945,1.088191927828943e-05
Li6PO6La2Ge2,-4.9646997,1.0846766721439921e-05
Li5S2Ti4Br3P6,-4.9695706,1.072579272486369e-05
Li2Zr7N4S3P4,-4.9699492,1.0716446495987686e-05
Li7Cl6S6,-4.9716845,1.0673712481354789e-05
Li6Ti7Cl4P7,-4.9777145,1.0526536483391047e-05
Li2S4P4Ti5,-4.981362,1.0438497703388203e-05
Li4Cl5Zr3GeP6,-4.982512,1.0410893408643534e-05
Li4P7STi4Br4,-4.9854107,1.0341637247445675e-05
Li2P4Br5Si6Zr6,-4.9888287,1.0260565568341585e-05
Li4Ge4Br7Cl6,-4.9895225,1.024418705682629e-05
Li6N2S,-4.9905133,1.0220842594222576e-05
Li5Br4Br7P4N2,-4.991059,1.0208007959263097e-05
Li5Br2S7,-4.9921713,1.0181897013983592e-05
Li5GeP2AlBr7,-4.993389,1.0153388407649497e-05
Li5Zr2N6Br7La,-4.9951477,1.011235482858254e-05
Li3Cl6S3La3P2,-4.9961457,1.0089143519989082e-05
Li6Zr6Br6P7Al,-5.000414,9.990471839892222e-06
LiLa4Br7PN3,-5.0011086,9.974506093958779e-06
Li3LaCl7Zr3N,-5.00539,9.876657643599415e-06
Li3S2Cl3,-5.0064807,9.851884234986534e-06
LiBr3Cl5Zr5P2,-5.010675,9.7571953468576e-06
Li5Br3Ti5P5Cl5,-5.0126066,9.713894893506752e-06
Li7P7Br6Cl,-5.0135193,9.693501905249927e-06
Li7N6F3Zr2La2,-5.013888,9.685275971843132e-06
Li4Br7Cl6La2,-5.017401,9.607247963359779e-06
Li4P5N2Zr7Br3,-5.022291,9.499680521128446e-06
Li5Br4P7Cl7,-5.0247045,9.44703447006087e-06
Li7Ti3N7P4,-5.026072,9.4173345723808e-06
Li4Cl2GeP6,-5.0353565,9.218144252276711e-06
Li7BrZrN2,-5.040598,9.107559139634803e-06
Li4Br7La6Cl5Ge,-5.041591,9.0867587949484e-06
Li6Zr6Br5P7Br6,-5.0446405,9.023177485399682e-06
Li2BrZrCl5,-5.0462527,8.989743491807813e-06
Li4Br6Si4La4P5,-5.0468946,8.976466201417118e-06
Li6S3Br2Cl7,-5.048209,8.949339836182705e-06
Li4BrOP6,-5.050878,8.894509432173144e-06
Li4Br4P2Zr4Cl,-5.05282,8.854825355861625e-06
Li2Ge2La5P7Br5,-5.0546513,8.81756561278908e-06
Li4AlS4Cl6,-5.0579176,8.75149804284365e-06
Li6S7Cl6Ti2,-5.0595436,8.718793665607744e-06
Li7Br4P3Cl6,-5.061242,8.68476357177439e-06
Li2PTiS2,-5.06141,8.681404657089026e-06
Li3La3Br6Si5,-5.0640473,8.628845639282333e-06
Li5S7Br5P5,-5.0642877,8.624070537230895e-06
Li6N7La5Ti3P7,-5.064602,8.617831533731903e-06
Li7P3Br3Zr3S3,-5.065383,8.602347850384586e-06
Li5La3SiO2Cl6,-5.066756,8.575194907455745e-06
LiBr3NSiLa,-5.0705924,8.499778336312703e-06
Li6Ge5La2O7,-5.075722,8.399975125394728e-06
Li2Zr5P4Al2S4,-5.0760083,8.394439433698779e-06
Li5ZrCl7,-5.0763645,8.38755729824701e-06
Li6TiS7Br5,-5.077794,8.359994659408461e-06
Li7Cl3P4,-5.0787163,8.342259592594342e-06
Li3Zr5Cl2P4N3,-5.079331,8.330460318547067e-06
Li7O2S5Ge6Cl7,-5.0833545,8.253639576569445e-06
Li5Br6P7Ti4,-5.0854025,8.214809562902065e-06
LiBr6La4Cl3,-5.087973,8.166331396973832e-06
Li7S5Cl6,-5.0884385,8.157582976570147e-06
Li3Br7Si5La5P4,-5.08888,8.149294262367046e-06
Li3P4Cl3Br6Ti3,-5.089134,8.144529487212312e-06
Li5N3Si2P4Ti3,-5.091287,8.104253178291836e-06
Li2Cl7La2,-5.0913982,8.102178370467339e-06
Li2Zr4S4P5N4,-5.092949,8.073298309097443e-06
LiLa2P7GeBr6,-5.0931673,8.069241250513338e-06
Li4Cl6P6Zr,-5.0943255,8.047750430942753e-06
Li5Br7Si3La4Al2,-5.095531,8.025442731071751e-06
Li7Br5S2La3P,-5.096205,8.012997366340633e-06
Li6GeN,-5.0964565,8.008358381704713e-06
Li7P3Ti6N5,-5.0984125,7.972370987080653e-06
LiLaS3P3Ti,-5.101475,7.916350234877761e-06
Li3Br3Ge2Cl6,-5.102209,7.902982131348094e-06
Li7Cl6La3P6,-5.1023917,7.899658185887487e-06
Li7Br3Al,-5.102431,7.898943365568072e-06
Li7AlBr3,-5.102431,7.898943365568072e-06
Li4OZr4PS5,-5.1034136,7.881092049432927e-06
Li4Zr4Br3P6S3,-5.104055,7.869461228115908e-06
Li5Cl2Br5P5,-5.10431,7.86484195782313e-06
Li4S3Ti2P2,-5.1045456,7.860576524277575e-06
Li3Br3SiLa5P7,-5.104555,7.86040638944332e-06
Li2Br2Br5La4P7,-5.1077,7.803689841784646e-06
Li7P4Cl6Ti7Ge7,-5.1086135,7.787292721956568e-06
Li3N6LaZr2O2,-5.112527,7.717435349542563e-06
Li7Br5S2GeP6,-5.114929,7.674869505909327e-06
Li7Cl2Si2F2Br4,-5.114969,7.674162656856825e-06
Li3S3Cl7Al2,-5.1152334,7.669492021676383e-06
Li7S7Cl3Zr2P,-5.115835,7.658875326431238e-06
Li6N6Ti5P3,-5.1162424,7.65169410977892e-06
Li4La4Br5Cl2Si7,-5.1162796,7.651038723071557e-06
Li2SiCl6La2,-5.118471,7.6125296995105896e-06
Li7P7La4Si5Zr7,-5.121529,7.559115826821033e-06
Li2Zr7GeAlP3,-5.122812,7.536817514043279e-06
LiBr2P,-5.125227,7.495023519340305e-06
LiP2Br4Cl3,-5.1262307,7.477721736390762e-06
Li7S5P6Zr2,-5.128899,7.431919553350932e-06
Li6S3Br3Al,-5.1302347,7.409097330812455e-06
Li3S2Br4P4,-5.1320252,7.378614143718431e-06
Li4Si2Cl7,-5.1322365,7.375025053791156e-06
Li5Cl4Zr4P3,-5.1331997,7.358686479709236e-06
Li5P4LaN2,-5.1333237,7.356585723405817e-06
Li2LaCl6,-5.135845,7.314000740974653e-06
Li4S2Br7Si6La6,-5.137142,7.292190406480992e-06
Li2Si4Br5PLa4,-5.1371613,7.291866349525317e-06
Li4S5S5La,-5.137315,7.289286161184349e-06
LiZr5Cl4P4La3,-5.1388974,7.262775167687051e-06
Li2Cl4Ge,-5.1393094,7.255888493749029e-06
Li2NBr6La2Cl5,-5.139696,7.2494323253057194e-06
Li4SiN3Cl6Br3,-5.14197,7.2115729324335735e-06
Li6PF,-5.1445885,7.168222875243503e-06
Li6P3F,-5.1478996,7.113779506751362e-06
Li6La5Ge7Cl6,-5.1486206,7.101979265040433e-06
Li6Cl6Br5La2,-5.153105,7.029023576271492e-06
Li5P6S7Zr4Si3,-5.154309,7.009563913282308e-06
Li2Br7S5LaP5,-5.1543617,7.0087133807021405e-06
Li7P3La5Ge4,-5.157336,6.960877644906749e-06
Li7Si7P2Ti5Cl7,-5.157378,6.960204500906506e-06
Li7SiCl2,-5.1575165,6.957985189660181e-06
Li6Br5S7P2O3,-5.163187,6.867726634236025e-06
Li7S3Br4OSi,-5.1648645,6.841250611978146e-06
Li7Cl5PSi4,-5.1654105,6.8326551176119054e-06
Li4Cl7Br5Si2,-5.1692877,6.7719275012245315e-06
Li4S4P6Br7,-5.1699967,6.760881126488167e-06
Li5Cl4P7Ge4,-5.1715255,6.737123366696516e-06
Li3Zr4Cl2Ge3P3,-5.171814,6.732649410124266e-06
Li7N6P4Ti5,-5.175284,6.679070075167782e-06
Li3Al3LaBr5,-5.177412,6.646423340709848e-06
Li6N4S4LaCl3,-5.1783133,6.632644188812399e-06
LiZr7P2Br7N3,-5.1789913,6.622297696803299e-06
Li6N6La2GeS2,-5.179596,6.6130834032862254e-06
Li2La6P4Br6Cl3,-5.180147,6.604698543267166e-06
Li7Ge3OCl7Br2,-5.1804957,6.5993976837135076e-06
Li6Br6Ti5P5S3,-5.1807256,6.59590512259342e-06
Li4NSi2SCl6,-5.1807976,6.594811703670438e-06
Li6La5Ge3Si6Cl7,-5.181835,6.579077464928473e-06
Li3S5BrTi,-5.182039,6.575987817949087e-06
Li2S7Zr5P4O3,-5.1833944,6.555496653143684e-06
Li7N6Br3,-5.1854014,6.525271706167905e-06
Li5Br6P6,-5.1857734,6.519684801744229e-06
Li3P4Br7,-5.1861043,6.514719180203212e-06
Li6NP4,-5.186463,6.5093406522791915e-06
Li7Cl7N4,-5.1867476,6.5050763764155066e-06
Li3TiClP,-5.190713,6.4459510025972215e-06
Li5LaBr5P6,-5.1911464,6.439521536454237e-06
Li2Br3P2,-5.191563,6.433347342460073e-06
Li6S2GeF2,-5.191937,6.427809541983728e-06
Li5P6Cl6Zr7,-5.1925364,6.418944194519993e-06
Li4S7Zr2Cl6,-5.1927896,6.415202947394253e-06
Li5Br3P7La5,-5.1941733,6.394796079016696e-06
Li6Br3Si2Zr4P3,-5.198762,6.327585176969422e-06
LiSAlPBr,-5.1988263,6.326648407965981e-06
LiO2La4Cl2Br5,-5.19989,6.311171763481238e-06
Li6Zr2PBr,-5.2030463,6.265470651233983e-06
Li7S5La2Zr6P7,-5.2060347,6.222505655476855e-06
LiLa6Br7Cl2P4,-5.208142,6.1923857134307835e-06
Li6P4Ti2Br5,-5.209996,6.166006809374736e-06
Li3Cl6S7Br4Zr7,-5.214221,6.106312131280462e-06
Li5Zr3Br5P2La,-5.214572,6.101378958608621e-06
Li5P6ZrLa3S5,-5.2151875,6.092737958067881e-06
Li4SiP,-5.2217693,6.001097737420304e-06
Li3Zr7Ge2N5P4,-5.223714,5.9742858729316855e-06
LiBr2P2,-5.2238617,5.972254412647602e-06
Li5Zr6S4P6,-5.225239,5.953344302079798e-06
Li3P6Cl4Ti7,-5.227564,5.921558171399509e-06
Li7S5Si3Zr7P6,-5.227628,5.920685602633674e-06
Li4P5Si4Ge2La6,-5.2280645,5.914737838947252e-06
Li2Br5P3,-5.229723,5.892193491011576e-06
Li5Cl4Cl5,-5.23332,5.843593535932775e-06
Li4Ti6La2Si6O5,-5.233644,5.83923562139651e-06
Li3ZrP7,-5.235293,5.817106299547016e-06
Li6F6Br2N7La5,-5.236148,5.805665368358054e-06
Li3Cl3S,-5.2371526,5.792251357320809e-06
Li7Cl3P,-5.237548,5.7869802474506e-06
Li7PCl3,-5.237548,5.7869802474506e-06
Li2Zr3S3P4,-5.239713,5.758203378496225e-06
Li7Al3Br7La,-5.23994,5.755194427943707e-06
Li5Br3ZrCl2N,-5.240407,5.749009151848845e-06
Li3S5Br7La5,-5.2418237,5.730286023037852e-06
Li7Br6Si3P4La2,-5.2430406,5.71425214514486e-06
Li2Zr4LaCl2P,-5.2432566,5.7114108205914026e-06
Li4GeP,-5.243547,5.707593044017081e-06
Li3SGe6La2Br4,-5.243745,5.704991477809897e-06
Li5P2Si3Ti6S2,-5.2442636,5.6981830956205085e-06
Li7BrPCl3,-5.2446513,5.693098527687819e-06
Li5O3P4Br2S5,-5.2470193,5.6621412598436146e-06
Li3Si2Cl3P,-5.2470436,5.661824455948693e-06
Li2Cl3Br5Ti,-5.247075,5.661415114203444e-06
Li7Br2La,-5.2473845,5.657381943524238e-06
Li7N4S3Cl7La5,-5.2475095,5.655753852420559e-06
Li4Zr5Br3P2Cl5,-5.2475886,5.65472383843217e-06
Li6Cl2S7OZr6,-5.2477107,5.65313426094228e-06
Li7S3OGe2,-5.248081,5.648316185855795e-06
Li7FAl,-5.2490544,5.635670586402402e-06
Li7ZrBr2N3N2,-5.250034,5.622973023960101e-06
Li6Zr2S5P2,-5.25472,5.562627775509269e-06
Li3La2Si3Br2,-5.2559795,5.546518935702344e-06
Li6Si3La3Br4,-5.2563586,5.541679436340627e-06
LiZr3P3Ge2,-5.2584105,5.515558560545326e-06
Li6Ti4P7N5Zr5,-5.2593665,5.50343067279596e-06
Li7P3Si3Br5,-5.2594934,5.501822816012148e-06
Li7Ti6P6Si2,-5.2605753,5.488133915353638e-06
Li2ZrCl5,-5.2618346,5.472243322725549e-06
Li7BrSi7La3P,-5.2623296,5.46600972444396e-06
Li7La7N6Br7Ge6,-5.262591,5.4627207463681865e-06
Li5Ti7P3S7,-5.2632847,5.454002089630907e-06
Li5Si2Cl6S,-5.2635684,5.450440462243429e-06
Li3P7Br3S3,-5.264942,5.4332288738391665e-06
LiBr6P2,-5.2651143,5.4310737470818235e-06
Li4Cl2La3N7,-5.265279,5.429014480174087e-06
Li6P6Zr6Ge7Br5,-5.267545,5.4007615115704986e-06
Li2Zr3S4P4,-5.2694926,5.3765959429575955e-06
Li7Al6Zr3P2Cl6,-5.2699547,5.3708781552361724e-06
Li2ClCl2,-5.271276,5.354562596870777e-06
Li7AlP7Ti,-5.272894,5.334650845667325e-06
Li4S5Br7Zr2Cl,-5.2748,5.311289818550132e-06
LiBr7P6,-5.274945,5.309516808518013e-06
Li2Br2TiCl5,-5.275022,5.308575519667707e-06
LiCl7Br4La5,-5.2753305,5.304805925331907e-06
Li2Br5La4S4,-5.2781725,5.270204894520597e-06
Li5N4P6La6Ge4,-5.278309,5.268548714306819e-06
Li3P6O2Br5,-5.2790446,5.2596324966596105e-06
LiZr3Zr2PN3,-5.2807837,5.238612802921734e-06
Li6LaSi3O6Ge4,-5.282468,5.218335529396035e-06
Li6Zr7Al6N7P3,-5.2842727,5.196695857606533e-06
Li7Zr5Br4SP2,-5.2864842,5.170300676169731e-06
Li5S3BrCl6,-5.288209,5.1498075545418956e-06
Li5Ti3P3S3,-5.288791,5.142910896293289e-06
Li5Ti7LaSi6O3,-5.289534,5.134119819871826e-06
LiLa3Ge2P3,-5.2906017,5.121513242581676e-06
Li7P7O3N3Ti4,-5.2906938,5.12042724822189e-06
